[00:00] 電子鎖的部分,大致上分成兩種電子鎖。
[03:05] 可是,可是它的這個鎖栓是不會自動伸出來的,你要自己這樣子,你要自己上提,你要自己上提它才會伸出來。
[03:20] 這是半自動鎖匣,就是這樣子的模式。
[03:23] 然後,半自動鎖匣大部分都會有一個,剛剛聽到的聲音,有ㄓ的馬達的聲音,或ㄓ,就是已關鎖會這樣子,會空轉。
[03:39] 這半自動的都會有ㄓ的一聲,屬於一個卡榫轉動的馬達的聲音,不是卡榫,是馬達轉動的聲音。
[03:51] 所以半自動的全自動是這兩種。
[03:54] 好,然後,再來電子鎖,我們都會有指紋、密碼、卡片,以及鑰匙的功能。
[04:04] 大台的,我們之後會叫大台的連提鎖型的電子鎖,都會有鑰匙的功能,這基本的功能。
[04:11] 再來就是,再往上一點,貴一點的就會有掌機麥、人臉辨識、遠端開關門,用手機可以遠端開關門解鎖、開關門通知、記錄等等的功能。
[04:25] 還有卡片,指紋、密碼、卡片、人臉辨識、掌機麥、鑰匙,還有遠端開關門解鎖,還有遠端的門鎖記錄的查詢,這些都是比較高階的電子鎖會有的功能。
[04:51] 甚至到這一款,我們這個日本的電子鎖還有這種可以雙向對講,就是手機可以跟,拿起來可以跟外面像對講機一樣可以講話,就只有這些功能。
[05:03] 這些功能之後會反映在說明書上面,再去做整理。
[05:11] 最重要的是什麼?最重要的就是這個地方,這點就是鎖匣,剛剛講到鎖匣,鎖匣常常會遇到什麼問題?
[05:25] 就是我在關門的時候,我門沒關好,它就會上鎖失敗,或者是這樣關一半,你們就會很難再打開來。
[05:40] 你就必須要把門壓緊,讓這個縫隙,不足夠的縫隙你才能夠讓它打開來,要不然你們這個鎖匣會卡在門框這邊,就會卡死。
[05:54] 門框這邊有一個重要的東西叫做這個鐵片,這個叫門框,這個鐵片有一個專業名稱叫做受口片,我們叫受口。
[06:08] 所以當今天鎖匣卡在相對,或者還有鎖穿,還在相對你的孔,你不給它足夠的縫隙,大概一毫米是兩毫米左右的縫隙的話,你卡太緊,一點點縫隙都沒有的話,你就會非常難開門,你門就會卡死。
[06:31] 然後還有我們門沒關好的時候,也會造成電子鎖你會再打不開的情形,因為你的鎖匣跟方舌鎖匣沒有卡在正確的位置,它就會開門就會很難開,就會開不起門這樣子。
[06:50] 這是最常發現的一個情形。
[06:52] 然後室內的部分,這種電子鎖,像我們就有電池,離電池,可以進行做充電的動作,可以放上去,然後把這個螢幕蓋放進去。
[07:16] 然後往下壓之後,再正確的位置,這一款比較難壓,因為這款有點壞掉。
[07:23] 然後我們就會有螢幕,螢幕它就會亮,點一下就可以看到外面,再點一下就可以看到室內,外面的情形跟室內的情形。
[07:50] 然後這就是我們室內的門把,轉一下就可以開門,關上門它就自動上鎖,這個是按鎖,轉一下可以上鎖,打開可以開門。
[08:03] 一轉上按鎖,不管怎樣都打不開,一定要解鎖才能開。
[08:09] 然後下面有我們的電動式的馬達的開門及關門鎖門的方式,按一下也可以解鎖。
[08:21] 然後如果再按一下,它就會鎖舌就會上鎖,但是手動模式的時候才需要按。
[08:36] 我現在是自動模式,所以你關上去它就會關門。
[08:41] 所以剛剛講到手動模式跟自動模式,意思就是有時候客人他會關上門會沒有辦法自動上鎖,有兩種原因。
[08:55] 一種就是我們沒關好,另外一種就是我不小心開到手動上鎖模式,所以我關上門它才不會上鎖。
[09:05] 那你就要把它轉回來關掉這樣子。
[09:10] 然後還有就是,我按一下,然後我們的電池,因為它不像手機的電池一樣。
[09:24] 手機的電池它可以寫軟體,然後讓你不管是用幾瓦的快充都可以充電,它不會讓你電池充壞。
[09:39] 那這種電子鎖的電池它只是一顆一電池,所以它沒有辦法寫軟體在裡面。
[09:46] 所以你在充電的時候,只能使用充電的頭,就這個插頭,只能使用5V2A或者是5V1A規格的充電頭。
[09:58] 也就是以前iPhone的那種豆腐頭、小頭,什麼10瓦、15瓦、20瓦快充都不能使用。
[10:08] 線都是使用Type-C的線,然後接Type-A。
[10:16] 然後再來就是我們的緊急狀況的時候,所要使用的功能。
[10:26] 在這一款電子鎖AI99的或是A90這兩款電子鎖,這兩個型號的電子鎖,中間有一個底部下面中間有一個圓形的蓋子。
[10:40] 打開之後,用大拇指戳它圓形的底部,上部會翹起來,然後再往旁邊轉。
[10:50] 打開之後,裡面就有鑰匙孔以及USB Type-C的頭。
[10:55] 當沒電的情況底下,你可以使用USB Type-C去進行緊急供電,然後行動電源,你就可以進門了。
[11:07] 然後呢,我們的假設真的還不行的話,就是故障。故障就要使用實體的鑰匙,才能夠開門。
[11:17] 插進去插到底,然後再轉動,就可以開門。
[11:23] 然後也可以進行上鎖的動作。
[11:27] 不管是順時針、逆時針都可以試一下。
[11:32] 因為順時針、逆時針的解鎖方式是要看你的電子鎖裝的開門方向。
[11:40] 好,然後講到開門的方向,我們要知道一點是,當我們要怎樣決定電子鎖的開門方向,或者是我們開鎖的電子鎖的位置裝在哪。
[11:57] 我們就要看所謂的腳鍊。
[12:00] 腳鍊是什麼?叫做門扇腳鍊。
[12:03] 腳鍊就是當我的門一打開的時候,腳鍊是指裝著門的,就是在門的,腳鍊就是這個地方,門的裝的地方,門掛上去的地方。
[12:27] 反正這個地方的專業術就叫腳鍊。
[12:30] 腳鍊的意思我還沒辦法馬上解釋。
[12:33] 那個可以再Google一下就好了。
[12:37] 對,腳鍊在這裡。
[12:39] 腳鍊在,我們要怎麼決定呢?
[12:43] 我們是人在外面,就是人在外面。
[12:48] 腳鍊的方向決定你開門的方向。
[12:51] 現在腳鍊在右手邊,所以它就是右開門。
[12:56] 所以我必須要使用右手去握住這個電子鎖進行指紋感應。
[13:03] 成功的時候進去開門,不管是推跟拉。
[13:07] 有些人的家裡是,這大門是我要抓住之後一拉,叫做右拉開門。
[13:18] 就是開門。
[13:20] 也有就是我解鎖的時候我是往裡面推的開門。
[13:24] 所以今天要跟客人先搞清楚一點,你是,你的家裡的門是往裡面推。
[13:31] 就是人站在外面,你是往裡面推開門,還是往外拉開門。
[13:37] 因為當我們今天跟客人,如果今天遇到狀況的話,
[13:41] 我們要先跟客人詢問說,你是,人在外面的時候,你是要往裡面推門開門,
[13:52] 還是拉門開門。
[13:54] 這樣這個時候遇到我剛剛講的狀況,就是門打不開的情形。
[13:59] 我才能告訴客人說,你要人站在外面,你是要壓著門,還是拉著門。
[14:07] 如果今天你是人站在外面,你是要拉門開門的人,
[14:13] 那如果你拉了打不開,那你就要先把門推緊。
[14:19] 首先推緊,推緊之後,讓它能夠縫隙出來之後,你才能夠拉門開門。
[14:26] 那如果你是人站在外面是推門開門的,
[14:30] 那你就要拉著這個門,拉著這個門,讓這個縫隙出來了,
[14:39] 然後再解鎖,你才能夠推門再把門打開。
[14:43] 剛剛圍繞著一指,就是說,門為什麼會卡著打不開,
[14:49] 有很多種情形,最常見的事情就是,
[14:53] 我的門縫四周,門的四周,有卡到東西,
[15:00] 或者是門扇下降,卡到底部等等的狀況,才會導致門扇開不了門。
[15:08] 為什麼?因為鎖是跟著門移動的,鎖只要鎖緊了,它不會自己動。
[15:16] 而且我們會怎麼樣判斷鎖有沒有移動?
[15:20] 就是我們鎖當時裝完都會裝成直的嗎?裝成直的。
[15:25] 那如果今天鎖你在看它還是直的情況底下,代表鎖就是沒有動。
[15:32] 那為什麼你門打不開?
[15:35] 那就是,你會發現,你的門扇非常的緊,
[15:39] 你前後的時候,這樣晃動的時候,沒有像這樣子有縫隙這樣晃動。
[15:44] 代表是什麼?一定有東西卡在下面,或是卡在腳墊卡在四周圍的地方,
[15:49] 才會導致你門扇非常緊,被卡死,打不開。
[15:53] 這個時候就要照我剛剛講的方式,
[15:55] 依你是開門還是推門,你開門是推門還是拉門的方式,才能夠進行推拉的動作去把它解鎖。
[16:07] 那如果人在裡面的話,人在裡面也有很常遇到就是,人在裡面我不管怎麼樣都打不開門,也是一樣。
[16:16] 假設你今天是人在家裡面,是拉門開門的,你就要把門推緊,讓縫隙出來。
[16:24] 然後,再拉你的把手,或是壓你的把手,因為如果你是把手型的話,你就要壓你的把手。
[16:32] 你就要先推,再拉,或是再壓把手,再把門拉開。
[16:38] 那如果今天是,你人在家裡面是推門開門的話,你就要先把門拉緊,讓縫隙出來。
[16:48] 然後再推你的把手,或是壓你的把手,把它整個推開,再把門推開,就可以了。
[16:57] 基本上就可以開門。
[16:58] 這是最常遇到的一個故障的情形會發生,就是遇到事件的事情會發生。
[17:04] 然後,這個是離電池,剛剛講到電池的充電的規則的方法。
[17:12] 然後另外呢,有這種是一般3號或4號的電池。
[17:22] 一律使用,像如果是這種3號或4號電池的話,一律使用國際牌Panasonic簡性電池,或是太元素電池,都是Panasonic的。
[17:36] 顏色就是金紅色,或是金藍色。這也是客人最常遇到的問題。
[17:42] 當我們今天換了別的品牌的簡性電池,例如金鼎,我直接講品牌,因為金鼎最常用。
[17:52] 但金鼎以我們所講的經驗是非常容易,它就算是簡性電池,它也是非常容易漏液。
[18:01] 一裝上去,漏液就壞掉。或者是隔一段時間,甚至有一些達到一年,兩年,造成電池所會有一些故障的情形發生。
[18:12] 那我好幾次都是遇到換回正常的Panasonic簡性電池,一切就都變正常。
[18:20] 所以一定要記得電池,如果你是裝3號或4號電池的電池所的客人,如果今天發生,為什麼電池所會有漏液?
[18:30] 比如說開關門變慢,鎖栓,比如說鎖栓升出來的速度,以及解鎖的速度怎麼變慢了,自動收回去的速度怎麼變慢了,就是有可能裝錯電池了。
[18:49] 或者是一直顯示電量很低,或者是發生很奇怪的故障的情形,反正就是感覺都怪怪的。
[18:57] 那你就是一定要先使用,先把電池確認是不是使用Panasonic的簡性電池或是太陽束電池。
[19:07] 總結來講,講個比較專業的,如果你要用那個記錄的話,就是今天只要有任何故障發生,
[19:16] 不管是密碼,密碼少一個數字,或者是摸了沒反應,或是指紋,感應不靈敏,感應怪怪的,或者是卡片,感應有問題,或是莫名的警報器會響,
[19:33] 或者是今天電子鎖異常,耗電異常,如果電池很快沒電,等等之類的,那就要先檢查是不是裝對電池。
[19:59] 反正今天只要客人進線,是講有跟使用上有點奇怪的狀況,就要先確認就是電池。
[20:12] 還有包括今天如果是有聯網的電池鎖,網路也是顯示很慢,或者是通訊有問題,就要先檢查電池是否正確的。
[20:23] 最常遇到的就是客人會問我換了新的電池,為什麼過了兩三天,五天,十天,一個月內就沒電了?
[20:33] 第一件事情就是要跟客人確認你裝的電池是不是正確的,這就是第一點。
[20:39] 裝了正確的電池之後,我們就把電池正不正確這件事情排除掉了,這時候我們就可以往下走,去確認說是什麼情形。
[20:48] 耗電的原因有另外一種,就是今天電池本身的品質某一顆可能有問題,這個時候我們會建議客人再換一組正確的電池,就是Panasonic的簡靜電池或是太陽束電池,再換一組。
[21:07] 換了一個新的一組,如果還是很快沒電的話,這個時候我們就可以去進行一個測試,就是我們要測試請工程師,請我們的技師電子鎖師回去測試說是不是IC板在耗電,不管是前IC還是後IC,還是網路的模組,藍牙的模組等等的,就要測試它是不是一場耗電的情形。
[21:33] 那我們就要請師傅過去拿電表測試,這個時候我們就會知道說是不是IC板一場耗電,這個是其中一個會有耗電的情形發生。
[21:45] 我剛剛講的這幾個情形是在這個電子鎖沒有網路Wi-Fi藍牙模組的情形發生的情況底下,是去檢查電池一場耗電的狀況。
[21:57] 如果今天你的電子鎖有Wi-Fi模組進來了,然後有藍牙模組進來了,你有藍牙模組跟Wi-Fi模組的功能的話,那測試一場耗電的另外一個方式以及狀況就要把這個考量進去。
[22:12] 就是說如果今天你的電子鎖是有網路功能,然後你電池也是正確的,你有配對網路,手機的APP你有配對,可是又一場耗電,電池是正確,可是還是一場耗電。
[22:28] 那要先檢查你的電子鎖去配對網路的時候,是不是連接Wi-Fi6的登機上的路由器,Wi-Fi6、Wi-Fi7或是未來的Wi-Fi8也是一樣。
[22:43] 電子鎖它因為是無線產品,它跟手機一樣是無線產品,但是我們電子鎖我們需要能夠做到讓你至少半年,或者是三個月以上至半年以上都不用換電池,或者是充班的一電池去充電。
[23:02] 所以我們需要讓你的電子鎖是連2.4G的頻道,那這2.4G的頻道的協定也不能夠用到Wi-Fi6以上,因為有些Wi-Fi6以上它的協定寫法是跟我們電子鎖不是那麼相容的。
[23:23] 所以我們要能夠讓你用2.4G,然後讓你的頻寬不要用太多,因為我們是無線產品,要不然的話就會像手機一樣要天天充電。
[23:33] 所以我們要能夠做到三至六個月都不讓你換電池,或者是不讓你需要一電池充電的情形,我們就只能連2.4G。
[23:42] 然後你一定要在連線的時候,配對的時候確保家裡的路由器2.4G跟5G的頻道一定要是分開來的。
[23:53] 我們只能夠單獨連2.4G,它是IoT設備,單獨連2.4G。
[24:00] 如果你家裡的網路的名稱只有一個,那大部分都是2.4G跟5G是合在一起的,或是6G也是合在一起的。
[24:11] 這個時候你就要進到你路由器的後台去把它分開,把2.4G跟5G進行分開。
[24:19] 然後如果分開了2.4G連線,還是會異常耗電。
[24:26] 我剛剛講如果你不分開,那就會回到我剛剛講的,你不分開,它就會異常耗電。
[24:33] 大部分都會異常耗電,這是常見的原因之一。
[24:37] 另外,分開了,如果還會有異常耗電的話,然後,異常耗電,然後你4.2G、2.4G,
[24:46] 那就是因為你的路由器有可能是Wi-Fi6或Wi-Fi7以上的路由器。
[24:50] 這個時候,我們會發一個後台設定的路由器設定的一個規格的SSID或是那些東西,要去做更改。
[25:09] 就是要改什麼802.1改成802.8x那些東西,我們會只發一個東西給你說你要怎麼更改。
[25:18] 更改之後,基本上就可以正常使用。
[25:23] 如果更改了後台設定還是不行,那我們建議客人去購入一台那種500塊的散盤也好,
[25:35] 去購入一台最便宜的路由器,可能500塊的路由器,就只有2.4G的功能。
[25:42] 那我們就直接給那台路由器,專門給電子鎖使用,進行配對。
[25:47] 這樣基本上就可以解決所有耗電的問題了。
[25:51] 所以耗電是目前電子鎖最常遇到的問題,還有裝座電池也是最常遇到的問題。
[25:59] 所以任何故障、狀況就先確認電子鎖,這是第一點。
[26:04] 然後第二點,再往下去去排除。
[26:08] 然後,可以贊成一下,我想想,耗電很快通常電子鎖就會一直提醒你說電量沒電,請更換電子。
[26:23] 假設你換了一個新的電子鎖,隔了三天、五天、一個月,它又突然跟你說電量很低,請更換電子,這類的通知,或是閃爍沒電。
[26:35] 或是你是有遠端功能的手機,有顯示電量的話,那也會告訴你電量低。
[26:41] 那這些都是告訴你快沒電了,那這個時候你就要換電子。
[26:47] 那如果這個耗電就是說,你換了一個月電子換新的,或是充電電池充飽了,一個月內又都沒電了,又要叫你換電子,或是要充電了,那就代表這都是異常耗電。
[27:03] 所以一個標準就是,如果一個月內又叫你換電子,或是又叫你的鋰電池要充電,這都叫異常耗電。
[27:11] 我們電子鎖呢,不管是我們有註冊模式,就是今天註冊模式的意思就是什麼?就是我要新增指紋、新增密碼、新增卡片、新增人臉辨識、新增長青白辨識,這些的功能。
[27:35] 註冊模式底下都會有兩種使用者,一種叫做一般使用者,就是一般使用者的意思就是可以進門、開門的而已,就這樣。
[27:51] 不管是指紋、密碼、卡片、鑰匙等等的功能。
[27:56] 一般使用者的密碼、指紋、卡片、人臉辨識、長青白辨識、進門辨識都是只能開門。
[28:05] 還有另外一個使用者叫做管理者。
[28:10] 管理者就是電子鎖最高的權限。
[28:14] 意思就是說,當我們今天進入電子鎖的設定,大部分的電子鎖,你要進入電子鎖的設定,都要先輸入管理者密碼,或者是管理者指紋,或者是管理者卡片,或者是管理者人臉,或者是管理者長青白等等的功能。
[28:36] 驗證成功之後,你才能夠進入設定。
[28:41] 管理者跟一般使用者是兩件事情。
[28:52] 管理者剛才講說,管理者驗證。
[28:56] 所以如果你今天在驗證管理員的時候,你忘記了管理員,假設你現在要新增一般使用者的密碼,或者是你要去更改指紋、刪除指紋等等的其他的進入的功能設定,功能的更改,或者是系統的設定,或者是新增用戶的設定等等的。
[29:18] 那這樣子的話,就要先驗證管理員。電子鎖就要先驗證管理員。
[29:26] 那你驗證管理員的方式,就有我剛剛講的指紋、密碼、卡片、人臉、長青白,在CHERA這品牌都有。
[29:34] 在其他品牌可能只有管理者密碼,或者是管理者卡片。
[29:42] 如果你忘記管理者密碼,或者是你沒有管理者卡片,那這樣子的話,在DOMA CUP這個品牌,就必須要請技師前往幫你的電子鎖出使化,才能夠重新設定管理者密碼,以及要所有其他的更改設定。
[30:02] 在DOMA CUP這個品牌,你要進入設定,或者是更改設定,或是要刪除其他用戶,你一定要有管理者密碼,或者是管理者卡片進行驗證,才能夠進入系統設定,去更改這些東西。
[30:16] 在CHERA這品牌,它的管理者、管理用戶,底下可以有指紋、密碼、卡片、人臉辨識、長青白辨識,這五種功能,可以讓你進入系統管理,包括更改營量,包括更改系統的設定,包括新增用戶、刪除用戶。
[30:42] 只要你是管理員,就可以進入它的系統選單,進行設定,或是刪除。
